base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,55,37.021470328191185,53.026790692215144,10,random_seed_223,95449,16008,1735.4363636363637,3
62,311,57,37.16333021021655,53.67528389917544,8,random_seed_224,95234,15787,1670.7719298245613,3
62,311,60,37.17982554533578,53.35250447489657,5,random_seed_225,95209,15897,1586.8166666666666,3
62,311,56,37.264941474550994,53.827870536107284,8,random_seed_226,95080,15735,1697.857142857143,2
62,311,58,37.26230222093192,53.66061210716276,6,random_seed_227,95084,15792,1639.3793103448277,2
62,311,58,37.197640507264545,53.43466651016755,9,random_seed_228,95182,15869,1641.0689655172414,5
62,311,55,37.333562068646984,53.942310513806156,9,random_seed_229,94976,15696,1726.8363636363636,2
62,311,54,37.31970598714683,53.813198744094606,11,random_seed_230,94997,15740,1759.2037037037037,3
62,311,60,37.3804088203856,53.88655770415799,5,random_seed_231,94905,15715,1581.75,3
62,311,54,37.161350770002244,53.23219578039262,11,random_seed_232,95237,15938,1763.648148148148,3
62,311,57,37.315087293313454,53.86308283693771,7,random_seed_233,95004,15723,1666.7368421052631,2
62,311,55,37.31706673352776,53.70169312479827,10,random_seed_234,95001,15778,1727.290909090909,3
62,311,55,37.36919199250452,53.84547668652249,9,random_seed_235,94922,15729,1725.8545454545454,2
62,311,57,37.317726546932526,53.860148478535166,10,random_seed_236,95000,15724,1666.6666666666667,5
62,311,58,37.27153960859869,53.760380292848964,8,random_seed_237,95070,15758,1639.1379310344828,4
62,311,54,37.15079375552593,53.502156753425865,11,random_seed_238,95253,15846,1763.9444444444443,3
62,311,57,37.29595270457515,53.67234954077291,9,random_seed_239,95033,15788,1667.2456140350878,4
62,311,60,37.113844204858864,53.33783268288389,6,random_seed_240,95309,15902,1588.4833333333333,4
